final location,year,city,loc_lat,loc_lng, total_sales - igr ,total sold - igr,flat_sold - igr,office_sold - igr,others_sold - igr,shop_sold - igr,commercial_sold - igr,other_sold - igr,residential_sold - igr, flat - weighted average rate , office - weighted average rate , others - weighted average rate , shop - weighted average rate ,flat - most prevailing rate - range,office - most prevailing rate - range,others - most prevailing rate - range,shop - most prevailing rate - range,total units, total carpet area supplied (sqft) ,flat total,shop total,office total,others total
Akurdi,2020,Pune,18.64485064,73.7781109,"  2,556,061,426 ",517,396,35,30,56,93,13,411,6488.334343,11021.12457,8342.852333,8720.745179,8216-9081,13242-14636,10965-12119,12671-14005,598,200147.6459,592,4,2,0
Akurdi,2021,Pune,18.64485064,73.7781109,"  2,418,114,001 ",540,385,51,44,60,113,23,404,7138.913896,9966.327255,9109.570909,9569.0905,8768-9691,13011-14381,8509-9405,12959-14323,330,252260.2602,311,19,0,0
Akurdi,2022,Pune,18.64485064,73.7781109,"  5,614,712,112 ",916,696,94,38,88,188,8,720,8392.898549,10785.24649,9519.823421,11006.13227,10699-11825,13171-14558,14404-15921,15366-16984,674,490526.4593,503,79,91,1
Akurdi,2023,Pune,18.64485064,73.7781109,"  5,744,785,291 ",938,701,102,39,96,200,13,725,8773.903738,12975.99216,9699.161538,14383.57917,11032-12193,15262-16868,14001-15475,18064-19966,197,159328.6204,195,2,0,0
Akurdi,2024,Pune,18.64485064,73.7781109,"  4,289,349,661 ",1090,497,77,35,481,565,19,506,8219.116197,11579.67325,10784.96486,4839.524449,10042-11099,13298-14698,19574-21635,2898-3203,666,710524.1052,383,205,60,18
Ambegaon Budruk,2020,Pune,18.4513436,73.844491,8707160246,2286,2040,19,36,191,216,3,2067,6422.52677,9723.189474,8006.746944,7791.070471,8120-8975,11940-13197,8002-8844,8850-9782,1401,762283.9832,1262,89,50,0
Ambegaon Budruk,2021,Pune,18.4513436,73.844491,10369978219,2626,2357,22,54,193,224,12,2390,6416.569398,11881.99227,7096.23463,8188.305337,8166-9026,15516-17149,7812-8634,9689-10708,1130,728944.969,1068,39,23,0
Ambegaon Budruk,2022,Pune,18.4513436,73.844491,11107717867,2602,2372,21,37,172,197,,2405,6819.650417,11566.78333,9237.46,9045.418314,8163-9022,14944-16517,8877-9812,11116-12286,1649,953689.8618,1443,152,34,20
Ambegaon Budruk,2023,Pune,18.4513436,73.844491,10956408744,2594,2354,26,22,192,218,2,2374,6879.262256,9846.505769,8386.397727,10398.20286,8254-9123,10206-11281,11139-12311,11091-12258,1467,874486.9505,1289,152,24,2
Ambegaon Budruk,2024,Pune,18.4513436,73.844491,10401293007,2337,2017,27,21,272,300,,2037,7072.668364,9718.010741,9310.591905,9746.710147,8853-9784,10642-11763,12412-13719,10768-11901,580,1073009.986,527,34,10,9
Aundh,2020,Pune,18.55899976,73.80819652,3679634474,355,290,40,6,19,59,5,291,8888.992345,14633.82675,12255.61667,16129.03421,10074-11135,15461-17089,15076-16663,21709-23994,56,48071.37816,34,2,20,0
Aundh,2021,Pune,18.55899976,73.80819652,6284100349,525,424,59,25,17,76,20,429,9366.125849,14735.07169,13266.0496,16463.89647,10682-11807,16177-17880,15563-17202,18289-20214,173,252727.0949,159,2,0,12
Aundh,2022,Pune,18.55899976,73.80819652,8188387646,594,463,80,27,24,107,14,473,9443.870475,15150.74263,12722.02037,14803.39542,11102-12271,18849-20833,16415-18143,19934-22032,125,139216.194,107,1,5,12
Aundh,2023,Pune,18.55899976,73.80819652,8758315373,607,496,49,24,38,87,16,504,10426.21877,18510.58224,20700.95458,19674.26237,11970-13230,23286-25738,20243-22373,26173-28929,286,204964.8588,103,27,156,0
Aundh,2024,Pune,18.55899976,73.80819652,8420865193,510,421,58,20,11,69,5,436,11774.09045,18073.20569,23998.5755,27718.27818,13773-15223,22641-25024,26401-29180,33546-37077,205,264639.1831,105,21,73,6
Wakad,2020,Pune,18.59726864,73.76269557,20983019240,3521,3244,139,29,109,249,8,3264,9116.946699,11083.53633,8302.806552,13904.59321,10373-11465,13237-14630,9526-10528,18241-20161,4325,2590224.095,3310,285,235,495
Wakad,2021,Pune,18.59726864,73.76269557,30257038927,5262,4548,132,445,137,669,12,4581,9289.038931,12588.72008,11690.65933,13989.81197,10323-11410,13493-14913,12202-13486,17925-19812,5030,3197303.9,4284,178,109,459
Wakad,2022,Pune,18.59726864,73.76269557,46914473973,6944,6378,235,87,244,495,7,6442,9734.906579,11746.56736,11139.27,14447.91156,10493-11597,13269-14666,12706-14043,19844-21933,4397,3479663.856,4220,48,68,61
Wakad,2023,Pune,18.59726864,73.76269557,38810863644,5484,4614,234,479,157,839,5,4640,9959.566365,12505.96248,15267.09136,17318.12083,10479-11582,14423-15942,15948-17627,21899-24204,4471,3264490.205,3407,101,64,899
Wakad,2024,Pune,18.59726864,73.76269557,29010521107,3760,3232,286,59,183,501,12,3247,10277.82583,14213.31552,11367.04932,17000.27951,11032-12194,16167-17869,15075-16662,20786-22974,1814,1419304.227,1465,57,187,105
